Time,Str,Amp,BodyE,SizzleE,Total,GeoMean,SustainMs,Status
17.891,0.412,0.002,0.4,6.8,7.3,1.7,22.9,REJECTED
18.077,0.793,0.047,11.6,174.3,185.9,44.9,25.8,KEPT
18.274,0.317,0.002,1.1,9.0,10.0,3.1,26.1,KEPT
18.448,0.875,0.141,58.1,707.3,765.4,202.7,42.4,KEPT
18.646,0.682,0.013,5.2,48.2,53.3,15.8,29.9,KEPT
18.831,0.839,0.088,14.3,328.3,342.6,68.4,52.4,KEPT
19.017,0.527,0.009,0.6,35.3,35.9,4.5,31.8,KEPT
19.203,0.722,0.042,21.1,169.3,190.4,59.8,12.4,KEPT
19.377,0.556,0.047,1.7,128.1,129.8,14.6,17.2,REJECTED
19.574,1.000,0.413,189.3,3877.5,4066.8,856.8,198.7,KEPT
19.969,0.102,0.017,6.0,82.8,88.8,22.2,9.4,REJECTED
20.155,0.679,0.010,3.4,48.1,51.5,12.7,21.4,REJECTED
20.352,0.865,0.110,21.9,410.9,432.7,94.8,44.4,KEPT
20.538,0.291,0.003,0.5,6.1,6.6,1.7,32.4,KEPT
20.724,0.593,0.060,24.3,229.2,253.6,74.7,36.1,KEPT
20.910,0.549,0.007,0.4,32.9,33.3,3.6,17.4,REJECTED
21.084,0.768,0.043,11.1,229.1,240.2,50.5,39.3,KEPT
21.281,0.348,0.002,0.8,11.7,12.5,3.1,21.4,REJECTED
21.467,1.000,0.191,84.8,868.3,953.1,271.4,47.3,KEPT
21.653,0.769,0.008,2.7,29.2,31.9,8.9,20.7,REJECTED
21.838,0.955,0.262,66.7,1003.5,1070.2,258.6,59.3,KEPT
22.024,0.822,0.014,2.8,53.1,55.9,12.2,36.1,KEPT
22.210,0.761,0.051,26.8,313.0,339.7,91.5,23.2,KEPT
22.396,0.685,0.036,1.4,109.8,111.2,12.5,27.5,KEPT
22.581,1.000,0.289,38.6,1020.6,1059.2,198.4,33.8,KEPT
22.756,0.425,0.006,3.7,25.7,29.4,9.8,3.0,REJECTED
22.953,0.754,0.334,25.9,846.9,872.8,148.0,28.0,KEPT
23.162,0.220,0.003,0.9,13.7,14.5,3.5,22.4,REJECTED
23.324,0.998,0.124,26.1,557.8,583.9,120.8,41.2,KEPT
23.522,0.617,0.015,3.0,52.9,56.0,12.6,35.7,KEPT
23.708,0.599,0.063,20.7,333.4,354.1,83.1,18.6,KEPT
23.882,0.674,0.057,2.6,169.2,171.8,21.0,19.9,REJECTED
24.067,0.725,0.190,16.0,796.1,812.1,113.0,27.7,KEPT
24.276,0.296,0.008,2.8,46.3,49.0,11.3,11.9,REJECTED
24.462,0.847,0.038,12.8,164.6,177.4,45.9,41.3,KEPT
24.636,0.397,0.003,4.0,17.3,21.3,8.3,38.3,KEPT
24.811,0.684,0.015,12.7,80.7,93.4,32.0,83.3,KEPT
24.915,0.142,0.007,4.8,34.8,39.5,12.9,98.4,KEPT
25.031,0.146,0.001,1.1,5.7,6.8,2.5,50.1,KEPT
25.217,0.216,0.008,3.8,27.5,31.4,10.3,67.9,KEPT
25.379,0.825,0.027,16.6,114.7,131.3,43.7,91.2,KEPT
25.577,0.567,0.008,15.8,126.8,142.7,44.8,136.8,KEPT
25.774,0.133,0.001,0.6,2.3,3.0,1.2,31.8,KEPT
25.960,0.925,0.225,108.7,2745.6,2854.2,546.2,189.3,KEPT
26.529,0.574,0.012,1.9,31.4,33.3,7.8,24.0,REJECTED
26.715,0.850,0.131,30.9,737.2,768.1,151.0,47.3,KEPT
26.900,0.400,0.008,0.3,18.1,18.4,2.4,29.3,KEPT
27.074,0.858,0.077,18.7,450.3,469.0,91.7,59.8,KEPT
27.260,0.679,0.019,11.7,36.1,47.8,20.5,4.2,REJECTED
27.469,1.000,0.163,39.4,722.7,762.1,168.7,38.0,KEPT
27.655,0.445,0.006,1.0,5.3,6.3,2.3,31.8,KEPT
27.841,0.746,0.078,5.0,193.9,198.9,31.1,35.2,KEPT
28.015,0.578,0.010,2.8,30.7,33.5,9.3,15.9,REJECTED
28.212,1.000,0.076,28.4,401.7,430.1,106.9,34.1,KEPT
28.398,0.590,0.004,1.3,11.6,12.8,3.8,26.6,KEPT
28.584,1.000,0.273,61.2,1375.3,1436.6,290.2,32.0,KEPT
28.746,0.473,0.010,5.7,39.4,45.1,15.0,11.2,REJECTED
28.955,1.000,0.082,13.8,495.6,509.5,82.8,27.7,KEPT
29.327,1.000,0.102,29.4,429.5,459.0,112.4,36.3,KEPT
29.513,0.691,0.042,6.9,140.4,147.4,31.2,38.5,KEPT
29.698,0.651,0.064,21.8,432.3,454.1,97.2,37.4,KEPT
